,Date,Post link,View,Post Hour,Bank,Time of day
0,26/9/2023,https://t.me/tikvahethiopia/81734,239800,10:18:00,BOA,night 
1,19/9/2023,https://t.me/tikvahethiopia/81606,258400,06:53:00,BOA,night 
2,15/9/2023,https://t.me/tikvahethiopia/81502,269400,03:56:00,BOA,evening 
3,2023-08-09 00:00:00,https://t.me/tikvahethiopia/81338,219400,10:50:00,BOA,afternoon
4,2023-05-09 00:00:00,https://t.me/tikvahethiopia/81252,255900,01:19:00,BOA,afternoon
5,2023-01-09 00:00:00,https://t.me/tikvahethiopia/81165,259100,10:20:00,BOA,afternoon
6,29/8/2023,https://t.me/tikvahethiopia/81123,232100,09:02:00,BOA,afternoon
7,2023-05-03 00:00:00,https://t.me/tikvahethiopia/76814,244100,09:32:00,BOA,evening 
8,26/1/2023,https://t.me/tikvahethiopia/76089,129400,09:49:00,BOA,night 
9,25/1/2023,https://t.me/tikvahethiopia/76075,299100,11:38:00,BOA,evening 
10,17/3/2022,https://t.me/tikvahethiopia/68651,249700,04:43:00,BOA,morning
11,2022-03-03 00:00:00,https://t.me/tikvahethiopia/68259,259400,05:30:00,BOA,afternoon
12,24/2/2022,https://t.me/tikvahethiopia/68037,245600,04:11:00,BOA,afternoon
13,17/2/2022,https://t.me/tikvahethiopia/67831,218400,02:23:00,BOA,evening 
14,2022-03-02 00:00:00,https://t.me/tikvahethiopia/67371,212300,03:10:00,BOA,morning
15,20/1/2022,https://t.me/tikvahethiopia/66803,206900,04:21:00,BOA,evening 
16,30/12/2021,https://t.me/tikvahethiopia/66171,207900,03:16:00,BOA,morning
17,23/12/2021,https://t.me/tikvahethiopia/65938,213700,03:13:00,BOA,evening 
18,16/12/2021,https://t.me/tikvahethiopia/65688,213300,04:57:00,BOA,afternoon
19,2018-06-12 00:00:00,https://t.me/tikvahethiopia/5339,170200,07:47:00,BOA,evening 
20,23/5/2018,https://t.me/tikvahethiopia/4722,160400,08:11:00,BOA,afternoon
